radius,H100,A100,V100,MI250X GCD,MI100
0,0.0525775,0.106871,0.1708915,0.107999,0.1446875
1,0.0522565,0.107181,0.1713555,0.1196365,0.150443
2,0.052346000000000004,0.10856099999999999,0.172317,0.14141900000000002,0.173717
4,0.053900500000000004,0.112635,0.1744915,0.181226,0.24617849999999997
8,0.0704275,0.137221,0.1811675,0.27435699999999996,0.4176105
16,0.118514,0.2078765,0.2712135,0.491768,0.740463
32,0.2199215,0.4987735,0.497916,0.8473265,1.48957
64,0.423111,0.969286,1.0150899999999998,1.5330249999999999,2.96172
128,0.829225,1.90873,2.01925,2.930215,5.50159
256,1.643195,2.952915,4.04782,5.49054,11.069299999999998
512,3.293295,5.869555,7.941095000000001,10.3507,19.9725
1024,6.584745,11.71065,15.8437,20.2911,34.2596
